year,yearEnd,exactDate,titel,titelEN,text,textEN,extra,extraEN,link,category
1842,,04.09.1842,Dombaufest in Köln,Cologne cathedral groundbreaking,"Friedrich Wilhelm IV. nimmt in Köln am Dombaufest teil, auf dem der Grundstein zum Weiterbau des unvollendeten gotischen Domes gelegt wird","Frederick William IV attends the construction ceremony of the Cologne Cathedral, where the first stone is laid for the continued construction of the hitherto unfinished Gothic cathedral","Am 27. Februar 1843, ein Jahr nach der Grundsteinlegung, ordnete Friedrich Wilhelm IV. für den Kölner Dom den „Ausbau nach dem Originalplane“ an. Diese Entscheidung legt dar, wie ernsthaft dem König an der Orientierung am Mittelalter gelegen war. Friedrich Wilhelm IV. hat zur Zeit des Domfortbaus in den 1840er und 1850er Jahren keine Zeichnungen zu diesem Projekt mehr angefertigt. In dieser Zeit gab es bereits klare Absprachen bezüglich der Orientierung an den historischen Originalplänen.","Frederick William IV ordered to finish the Cologne Cathedral ""true to the original plan"" on 27 February, 1843, one year after continuing the construction work. This decision illustrates the depth of the King's aesthetic orientation towards the Middle Ages. By this time there was already a clear agreement concerning the use of the historic original plans and Frederick William IV did not continue to work on his designs during the period of the cathedral extension in the 1840s and 1850s.",http://www.preussenchronik.de/ereignis_jsp/key=chronologie_006100.html,Künstlerisches - Architektonisches - Religiöses
1844,,26.07.1844,Attentat auf den König,Attempted assassination,"Der ehemalige Bürgermeister von Storkow, Heinrich Ludwig Tschech, verübte ein Attentat auf König Friedrich Wilhelm IV., der jedoch unverletzt blieb","Unsuccessful assassination attempt on King Frederick William IV by the former mayor of Storkow, Heinrich Ludwig Tschech","Nachdem Tschech zahlreiche Gesuche um Wiedereinstellung an preußische Behörden gerichtet hatte, hiermit aber erfolglos geblieben war, und zuletzt erfolglos an den König selbst appelliert hatte, fasste er schließlich den Entschluss, den König zu töten und dadurch vor der Welt seine verletzte Ehre wiederherzustellen. Er feuerte mit einer doppelläufigen Pistole auf das Königspaar, der König und die Königin blieben unversehrt. Eine der beiden Kugeln traf lediglich den Mantel der Königin.","Following repeated unsuccessful requests for re-employment as a civil servant, and even after appealing to the King himself, Tschech finally made the decision to kill the King and thereby restore his wounded honor. He fired a double-barreled gun at the royal couple, but the King and Queen kept unharmed, though one of the bullets hit the coat of the Queen.",https://de.wikipedia.org/wiki/Heinrich_Ludwig_Tschech,Lebensdaten - Persönliches - Prägendes
1845,,14.04.1845,Grundsteinlegung der Friedenskirche,Friedenskirche groundbreaking,Grundsteinlegung der 1848 geweihten Friedenskirche im Park von Sanssouci nach Plänen des Hofarchitekten Ludwig Persius,"The first stone of the Church of Peace (Friedenskirche) in Sanssouci is laid. Built according to plans by the court architect Ludwig Persius, the church is to be consecrated in 1848",,,https://de.wikipedia.org/wiki/Friedenskirche_(Potsdam),Künstlerisches - Architektonisches - Religiöses
1847,,,Dritte Italienreise,Third journey to Italy,,,,,,Lebensdaten - Persönliches - Prägendes
1847,,01.04.1847,Einberufung des Landtages,Convening of Parliament,"Einberufung des Vereinigten Landtages durch Friedrich Wilhelm IV., der König lehnte die Forderung nach Einführung einer Verfassung in Preußen ab, die bereits 1815 von seinem Vater in Aussicht gestellt worden war","Frederick William IV convenes the Prussian united state parliament, initially rejecting demands for the introduction of a constitution, as proposed by his father in 1815","In seiner Rede zur Eröffnung des Landtages brüskierte Friedrich Wilhelm die Abgeordneten: „Es drängt mich zu einer feierlichen Erklärung: dass es keiner Macht der Erde jemals gelingen soll, Mich zu bewegen, das natürliche, gerade bei uns durch seine innere Wahrheit so mächtig machende Verhältniß zwischen Fürst und Volk in ein conventionelles, constitutionelles zu wandeln, und dass ich es nun und nimmermehr zugeben werde, dass sich zwischen unseren Herr Gott im Himmel und dieses Land ein beschriebenes Blatt gleichsam als zweite Vorsehung eindränge, um uns mit seinen Paragraphen zu regieren und durch sie die alte, heilige Treue zu ersetzen.“","In his speech at the opening of the assembly, Frederick Wilhelm snubbed the deputies: ""I am driven to a solemn declaration: that no power on earth shall ever succeed in moving me to transform the natural relation between prince and people, whose internal truth is inherently empowering, into a consensual, constitutional one, and will never agree that a written page should be thrust between our God and this country [...] to rule us through paragraphs and replace the ancient and sacred loyalty"".",https://de.wikipedia.org/wiki/Vereinigter_Landtag,Politisches - Militärisches - Revolutionäres
1848,,06.03.1848,Märzrevolution in Preußen,March revolution in Prussia,Zentrale Anliegen der Revolutionäre waren eine Verfassung mit Repräsentativorgan und die Verbesserung der sozialen Ordnung,"Revolutionary uproar and violence force King Frederick William IV to consider a constitution with a representative body, and social reforms","Nachdem Friedrich Wilhelm IV. unter dem Druck der Revolutionäre einwilligt den Landtag einzuberufen, die Pressefreiheit einzuführen, die Zollschranken zu beseitigen und den Deutschen Bund zu reformieren kommt es bei der Verlesung des entsprechenden Patents vor dem Berliner Stadtschloss zum bewaffneten Kampf zwischen Bürgern und Militär. Während der Verlesung werden nach anfänglich friedlicher Stimmung revolutionäre Parolen laut. Zwei Schüsse lösen sich, ob beabsichtigt oder aus einem Missverständnis, wird nie geklärt. Es folgt ein Umschlagen der Stimmung der Demonstranten und der gezielte Einsatz des Militärs. Heftige Straßen- und Barrikadenkämpfe schließen sich an und fordern mehrere hundert Tote. Ein Tag nach den blutigen Aufständen, am 19.03.1848, sieht sich König Friedrich Wilhelm IV. gezwungen, vor den auf dem Schlosshof aufgebahrten „Märzgefallenen“ zu erscheinen und seine Mütze zu ziehen. Am 21. März reitet er mit Schwarz-Rot-Goldener Schärpe durch Berlin und erklärt, er wolle Deutschlands Freiheit, Deutschlands Einigkeit. In einem Brief an seinen Bruder, den Prinzen Wilhelm, schreibt der König jedoch: „Die Reichsfarben musste ich gestern freiwillig aufstecken, um Alles zu retten. Ist der Wurf gelungen […], so lege ich sie wieder ab!“","Under the pressure from the revolutionaries, Frederick William IV agreed to convene the parliament, to introduce freedom of the press, to eliminate tariff barriers, and to reform the German Confederation. During the reading of the respective bill, an armed struggle arose between citizens and military in front of the Berlin city palace. During the reading, revolutionary slogans were shouted. Two shots were fired, whether intentionally or through a misunderstanding is never clarified. In the aftermath, the mood of the demonstrators changes and military force were used to suppress the disturbance. Violent street and barricade fighting erupted, resulting in several hundred dead. The day after the bloody riots, 19 March, 1848, King Frederick William IV is compelled to appear before the laid out dead (""Märzgefallenen"") in the courtyard and to raise his cap in their honour. On March 21, he rides through Berlin, wearing a black-red-golden sash and declares his desire for Germany's freedom and unity. In a letter to his brother, Prince William, the King writes though: ""I had to voluntarily put on the nation state's colors yesterday in order to save everything. As soon as I succeed [...], I shall take them off again!""",https://de.wikipedia.org/wiki/Deutsche_Revolution_1848/1849,Politisches - Militärisches - Revolutionäres
1848,,05.12.1848,Oktroyierte Verfassung,Imposed constitution,Friedrich Wilhelm IV. verordnete die Auflösung der preußischen Nationalversammlung und oktroyierte am selben Tag selbst eine seinen Vorstellungen entsprechende Verfassung,Frederick William IV orders the dissolution of the Prussian National Assembly and imposes a constitution according to his own ideas,"Die oktroyierte Verfassung blieb weit hinter den Forderungen der Märzrevolution zurück. Zwar sah sie ein frei gewähltes Parlament vor, tastete die Machtposition des Königs jedoch nicht an. Dieser behielt sich das Vetorecht gegen alle Beschlüsse des preußischen Landtags vor sowie das Recht, das Parlament jederzeit auflösen zu können. Das Staatsministerium – die preußische Regierung – war nicht dem Parlament, sondern nur dem König gegenüber rechenschaftspflichtig. Dennoch enthielt die Verfassung zunächst noch einige liberale Zugeständnisse, die allerdings in den Folgemonaten modifiziert wurden.","The imposed constitution fell far short of the demands of the March Revolution. Although it specified a freely elected parliament, it did not touch the power position of the King. He reserved the right to veto any decision of the Prussian parliament and the right to dissolve parliament at any time. The State Ministry – the Prussian government – was not accountable to the parliament, but only to the King. Nevertheless, the constitution initially still contained some liberal concessions, which were, however, modified in the following months.",,Politisches - Militärisches - Revolutionäres
1849,,03.04.1849,Ablehnung der Kaiserkrone,Rejection of the imperial crown,Friedrich Wilhelm IV. lehnt die ihm von der Frankfurter Nationalversammlung angebotene Kaiserkrone ab,Frederick William IV rejects the imperial crown offered to him by the National Assembly in Frankfurt,"Die Kaiserkrone „mit ihrem Ludergeruch nach Revolution” war für ihn unannehmbar. Er sei sich zu gut, verkündete er, um „eine erfundene aus Dreck und Letten geknetete Krone anzunehmen, die ihm zum Knecht eines Prinzips, einer Nationalversammlung, ja auch von Fürsten und Königen macht. ... Sie verdient nur Ekel und Abscheu.” Allein von einer Fürstenversammlung hätte er die Kaiserkrone entgegengenommen.","The imperial crown ""with it's smell of revolution"" was unacceptable to him. He valued himself too highly, he announced, to ""assume a fictional crown, fashioned from mud and loam, that makes him a slave to a principle, a national assembly, and even of Princes and Kings. ... It deserves only disgust and loathing."" Only from an assembly of Princes would he have agreed to receive the imperial crown.",,Politisches - Militärisches - Revolutionäres
1849,,17.07.1849,Dreiklassenwahlrecht,Three-class franchise system,Die zweite Kammer des preußischen Landtags wird nach dem von Friedrich Wilhelm verordneten Dreiklassenwahlrecht gewählt. Aus der Wahl geht eine monarchische Mehrheit hervor,The second chamber of the Prussian Parliament is elected according to a three-class franchise system introduced by Frederick William IV. The result of the election is a monarchical majority,,,,Politisches - Militärisches - Revolutionäres
1853,,,Vierte Italienreise,Fourth journey to Italy,,,,,,Lebensdaten - Persönliches - Prägendes
1858,,07.10.1858,Schlaganfälle und Rücktritt,Strokes and resignation,"Friedrich Wilhelm IV. überträgt nach mehreren Schlaganfällen die Regierungsgewalt an den Thronfolger, seinen Bruder Prinz Wilhelm (I.)","Following a series of strokes, Frederick William IV passes his authority to his brother Prince William I, the successor to the throne","Ab dem 14. Juli 1857 erlitt Friedrich Wilhelm IV. mehrere Schlaganfälle, wodurch auch sein Sprachzentrum in Mitleidenschaft gezogen wurde. Nachdem die Stellvertretung durch seinen Bruder Wilhelm drei Mal verlängert worden war, sorgte seine Frau, Königin Elisabeth, dafür, dass der kranke König am 7. Oktober 1858 die Regentschaftsurkunde für den Thronfolger, den Prinzen Wilhelm, unterschrieb. Es folgte eine letzte Italienreise mit Elisabeth u. a. nach Florenz, Rom, Neapel und Pompeji. ","On July 14, 1857, Frederick William IV suffered the first of several strokes, which affected his speech. After the delegation of power to his brother Wilhelm had been extended three times, his wife, Elizabeth, arranged that the sick King should sign the regency certificate for the successor to the throne, Prince William, on 7 October, 1858. Afterwards, Frederick William left for a final journey to Italy with Elizabeth, where they visited among other sites, Florence, Rome, Naples, and Pompeii.",,Lebensdaten - Persönliches - Prägendes
1861,,02.01.1861,Tod des Königs,Death of the King,"Friedrich Wilhelm IV. stirbt im Schloss Sanssouci, Beisetzung in der Friedenskirche in Potsdam, sein Herz ruht bei seinen Eltern im Mausoleum von Schloss Charlottenburg","Frederick William IV dies at Sanssouci palace. He is buried in the Church of Peace (Friedenskirche) in Potsdam, while his heart rests with his parents in the mausoleum of Charlottenburg palace","Um Mitternacht, mit Beginn des Jahres 1861, telegrafierte sein Adjutant Prinz Kraft zu Hohenlohe-Ingelfingen: „Plötzlich schnellerer Verlauf zum Ende als dies zu erwarten war. Ableben jeden Augenblick möglich. Alleruntertänigstes Anheimstellen, ob und wann von der Königlichen Familie dies in der Nacht mitzuteilen.“ Am 2. Januar 1861 setzte ein letzter Schlaganfall den Leiden des Königs ein Ende. ","At midnight on New Year, 1861, the king's aide-de-camp prince Kraft zu Hohenlohe-Ingelfingen sent a telegram: ""A more sudden and rapid decline than was expected. Death possible every moment. I humbly leave it to your decision as to if and when to inform the royal family at night."" On 2 January, 1861 a final stroke put an end to the suffering of the King.",https://de.wikipedia.org/wiki/Friedrich_Wilhelm_IV.,Lebensdaten - Persönliches - Prägendes
